animal_id,name,datetime,found_location,type,intake_condition,sex,age,breed,color_primary,color_secondary,num_stays,avg_stay_len
A686129,*Lewis,2014-08-16 17:11:00,Jelly Palm Trail in Travis (TX),Stray,Normal,Intact Male,1 year,Pit Bull Mix,Blue,White,1,13.0
A686131,Winston,2014-08-16 17:54:00,623 Blue Valley Dr in Austin (TX),Stray,Normal,Intact Male,1 month,Leonberger Mix,Brown,White,1,118.0
A686138,Chuco,2014-08-17 11:15:00,William Cannon/Westgate in Austin (TX),Stray,Normal,Intact Male,9 months,Chihuahua Shorthair Mix,Brown,Tricolor,1,4.0
A686140,*Huggy Bear,2014-08-17 11:44:00,4400 S Interstate 35 Frontage Rd in Austin (TX),Stray,Normal,Intact Female,9 months,German Shepherd Mix,Black,White,1,4.0
A686152,Sandy,2014-08-17 13:00:00,12201 Running Bird Ln in Austin (TX),Owner Surrender,Normal,Spayed Female,8 years,Pit Bull Mix,Tan,White,2,66.0
A686155,*Jango,2014-08-17 14:20:00,14904 Hoot Owl Ct in Travis (TX),Stray,Normal,Intact Male,5 months,Australian Cattle Dog Mix,Black,Blue,1,5.0
A686157,Brooklyn,2014-08-17 15:18:00,809 Sirocco Dr in Austin (TX),Stray,Normal,Intact Female,1 month,American Pit Bull Terrier Mix,White,Brown,1,4.0
A686170,Simba,2014-08-17 17:26:00,909 Armadillo Rd in Austin (TX),Stray,Normal,Intact Male,2 years,Chihuahua Shorthair Mix,Brown,White,1,7.0
A686178,Yager,2014-08-18 11:20:00,1119 Lott Ave in Austin (TX),Stray,Normal,Neutered Male,1 year,German Shepherd Mix,Black,Tan,1,6.0
A686180,Dallas,2014-08-18 11:37:00,2901 Parker Ln in Austin (TX),Public Assist,Normal,Intact Female,1 month,Chihuahua Shorthair Mix,Black,Tan,1,6.0
A686197,N/A,2014-08-18 13:30:00,2600 Crownover Street in Austin (TX),Stray,Normal,Intact Female,1 month,Plott Hound Mix,Brown,White,1,5.0
A686202,Macarron,2014-08-28 13:07:00,Austin (TX),Owner Surrender,Normal,Neutered Male,8 months,Labrador Retriever Mix,Brown,White,1,1.0
A686203,*Storm,2014-08-18 14:14:00,15302 Strom in Travis (TX),Stray,Normal,Intact Female,1 month,Pit Bull Mix,Black,White,1,9.0
A686206,Ace,2014-08-20 17:58:00,Cameron Rd & Ferguson Ln in Austin (TX),Stray,Normal,Intact Male,1 year,German Shepherd Mix,Tan,White,3,11.666666666666666
A686220,N/A,2014-08-18 16:20:00,Hyson Crossing in Pflugerville (TX),Stray,Normal,Intact Male,1 year,Jack Russell Terrier Mix,White,Brown,1,4.0
A686225,Shiner,2014-08-18 17:23:00,Austin (TX),Owner Surrender,Normal,Intact Male,5 months,Labrador Retriever Mix,White,Brown,1,19.0
A686226,Chan,2014-08-18 17:23:00,Austin (TX),Owner Surrender,Normal,Intact Male,5 months,Dutch Shepherd,Black,Brown,1,34.0
A686231,Echo,2014-08-18 18:16:00,15771 Ih 35 in Austin (TX),Stray,Normal,Intact Male,5 months,German Shepherd Mix,Black,Tan,1,4.0
A686256,*Oscar,2014-08-19 11:02:00,4550 Mueller Blvd in Austin (TX),Stray,Normal,Intact Male,3 years,German Shepherd Mix,Tricolor,,1,17.0
A686257,*Milo,2014-08-19 10:52:00,7137 Walkup Ln in Austin (TX),Stray,Normal,Intact Male,1 year,Chihuahua Shorthair Mix,Black,Brown,1,22.0
A686260,Dustin,2014-08-19 11:33:00,Mckinney Falls Pkwy & Dee Gabriel Collins Rd in Austin (TX),Stray,Normal,Intact Male,1 year,Chihuahua Shorthair Mix,Tricolor,,1,6.0
A686262,*Dillon,2014-08-19 11:33:00,Mckinney Falls Pkwy & Dee Gabriel Collins Rd in Austin (TX),Stray,Normal,Intact Male,1 year,Chihuahua Shorthair Mix,Black,Tan,1,4.0
A686263,Louis,2014-08-19 11:33:00,Mckinney Falls Pkwy & Dee Gabriel Collins Rd in Austin (TX),Stray,Normal,Intact Male,1 year,Norfolk Terrier Mix,Tan,White,1,4.0
A686271,N/A,2014-08-19 13:42:00,Avenue N /Howard in Austin (TX),Stray,Normal,Intact Female,1 year,Chihuahua Shorthair Mix,Brown,,1,4.0
A686277,*Bo,2014-08-19 14:30:00,7102 Townsborough in Austin (TX),Stray,Normal,Intact Male,4 years,Australian Cattle Dog Mix,Brown,,1,83.0
A686280,N/A,2014-08-19 14:59:00,Maybock Drive in Del Valle (TX),Stray,Normal,Intact Female,1 month,Border Terrier Mix,Black,White,1,4.0
A686282,Lola,2014-08-19 15:10:00,Boyce Ln & Innes View Rd in Austin (TX),Stray,Normal,Intact Female,2 months,Jack Russell Terrier Mix,Black,Tan,1,5.0
A686283,N/A,2014-08-19 15:10:00,Boyce Ln & Innes View Rd in Austin (TX),Stray,Normal,Intact Female,2 months,Jack Russell Terrier Mix,Tan,White,1,4.0
A686315,Cupid,2014-08-20 08:57:00,12034 Research Blvd. in Austin (TX),Stray,Normal,Intact Male,1 year,Labrador Retriever Mix,White,Tan,1,38.0
A686319,Jack,2014-08-20 10:38:00,2805 Catalina Drive in Austin (TX),Stray,Normal,Neutered Male,4 years,Plott Hound Mix,Brown,,1,298.0
A686320,Mabel,2014-08-20 10:38:00,2805 Catalina Drive in Austin (TX),Stray,Normal,Intact Female,2 years,Beagle Mix,Tan,White,1,9.0
A686323,Hope,2014-08-20 12:03:00,400 Grove Blvd in Austin (TX),Stray,Normal,Spayed Female,5 months,Catahoula Mix,Brown,White,1,35.0
A686337,Vega,2014-08-20 15:41:00,12310 Von Quintus Rd in Travis (TX),Owner Surrender,Normal,Intact Female,3 years,German Shepherd,Brown,Black,1,42.0
A686349,Nova,2014-08-20 17:02:00,Ohlen And 183 in Austin (TX),Stray,Normal,Intact Female,5 months,Dachshund Mix,Black,,1,10.0
A686362,Rocky,2014-08-20 17:27:00,Duval And E 48Th St in Austin (TX),Stray,Normal,Intact Male,1 year,Chihuahua Shorthair Mix,Brown,White,2,6.5
A686364,Bubba,2014-08-20 18:01:00,Austin (TX),Owner Surrender,Normal,Intact Male,4 months,Pug Mix,Brown,Black,2,1.0
A686365,Hazel,2014-08-20 18:24:00,Hamilton Point Circle & Jaron Dr in Manor (TX),Stray,Normal,Intact Female,9 months,Carolina Dog,Tan,,4,36.25
A686371,Taker,2014-08-21 09:15:00,Airport in Austin (TX),Stray,Normal,Intact Male,11 months,Pit Bull Mix,Brown,,1,9.0
A686372,Tea-Tee,2014-08-21 09:15:00,Airport in Austin (TX),Stray,Normal,Intact Female,11 months,Staffordshire Mix,White,Tan,1,5.0
A686377,N/A,2014-08-21 10:41:00,Norwood Park Blvd & Clock Tower Dr in Austin (TX),Stray,Normal,Intact Male,1 month,Dachshund Wirehair Mix,Brown,Black,1,4.0
A686383,*Prince,2014-08-21 11:04:00,S1St/William Cannon in Austin (TX),Stray,Normal,Intact Male,1 year,Akita Mix,White,Tan,1,12.0
A686390,*Huey,2014-08-21 16:14:00,4200 Brookview Rd in Austin (TX),Stray,Normal,Intact Male,4 months,Anatol Shepherd Mix,Tan,Black,1,4.0
A686393,Sugar,2014-08-21 12:21:00,13717 Burnet Rd in Austin (TX),Stray,Normal,Intact Female,2 years,Pit Bull Mix,Tan,White,2,40.5
A686406,N/A,2014-08-21 12:39:00,Loyola And Decker in Austin (TX),Stray,Injured,Intact Male,1 year,Border Terrier Mix,Tan,Black,1,4.0
A686416,Lady,2014-08-21 15:02:00,Heatherwild/Olympia in Pflugerville (TX),Stray,Normal,Intact Female,2 months,Labrador Retriever Mix,Black,White,1,9.0
A686417,Pooh Bear,2014-08-21 15:19:00,Austin (TX),Owner Surrender,Aged,Neutered Male,15 years,Chihuahua Shorthair Mix,Tan,Black,1,1.0
A686433,*Tara,2014-08-21 18:16:00,Westgate in Austin (TX),Stray,Normal,Intact Female,2 years,Pit Bull Mix,Black,White,1,225.0
A686437,Nolan,2014-08-21 18:58:00,1600 Wickersham Lane in Austin (TX),Stray,Normal,Intact Male,5 months,Border Collie Mix,Brown,White,1,10.0
A686449,*Charlie,2014-08-22 11:14:00,Sheep Hollow in Travis (TX),Stray,Normal,Intact Male,10 years,Labrador Retriever Mix,Tricolor,White,1,938.0
