animal_id,name,datetime,found_location,type,intake_condition,sex,age,breed,color_primary,color_secondary,num_stays,avg_stay_len
A783452,Lola,2018-10-31 11:05:00,Creekside Drive And Highway 183 in Austin (TX),Stray,Normal,Intact Female,1,German Shepherd Mix,Brown,Black,1,87.24791666666667
A783469,Winston,2018-10-31 11:52:00,Del Valle (TX),Owner Surrender,Normal,Intact Male,2,Dachshund Mix,Black,Brown,1,35.25833333333333
A783470,Tippy,2018-10-31 11:52:00,Del Valle (TX),Owner Surrender,Normal,Intact Female,1,Dachshund Mix,Black,Red,1,30.260416666666668
A783472,Coco,2018-10-31 11:52:00,Del Valle (TX),Owner Surrender,Normal,Intact Female,2,Dachshund Mix,Black,Tan,1,36.204861111111114
A783474,*Jam,2018-10-31 12:29:00,2210 Wirtz Avenue in Austin (TX),Stray,Normal,Intact Male,1,Miniature Schnauzer Mix,Black,White,1,69.95694444444445
A783475,*Jelly,2018-10-31 12:29:00,2210 Wirtz Avenue in Austin (TX),Stray,Normal,Intact Female,1,Miniature Schnauzer Mix,Black,,1,34.922222222222224
A783482,*Rocky,2018-10-31 13:44:00,Austin (TX),Stray,Normal,Intact Male,3,Chihuahua Shorthair Mix,Brown,White,1,44.00208333333333
A783484,N/A,2018-10-31 13:58:00,South First Street And William Cannon Drive in Austin (TX),Stray,Normal,Spayed Female,3,Jack Russell Terrier Mix,White,Brown,1,4.153472222222222
A783485,Pluto,2018-10-31 14:13:00,2200 Panther Trail in Austin (TX),Stray,Normal,Neutered Male,1,German Shepherd,Brown,Black,2,23.647916666666667
A783494,Lobo,2018-10-31 16:08:00,1511 Faro Dr in Austin (TX),Stray,Normal,Intact Male,2,Siberian Husky Mix,White,,1,43.09791666666667
A783495,Xena,2018-10-31 15:40:00,1130 Mason Avenue in Austin (TX),Stray,Normal,Intact Female,1,German Shepherd Mix,Tan,Black,3,11.329629629629629
A783503,Lala,2018-10-31 17:26:00,Austin (TX),Owner Surrender,Normal,Intact Female,2,Pit Bull Mix,White,Blue,1,39.01875
A783504,*Lilly,2018-10-31 17:51:00,5904 Sandshop Drive in Austin (TX),Stray,Normal,Intact Female,2,Pit Bull Mix,White,Brown,1,47.97083333333333
A783510,Wally,2018-10-31 19:23:00,2631 S Cap Tx Hwy in Austin (TX),Stray,Normal,Intact Male,1,German Shepherd Mix,Brown,Black,1,70.88819444444445
A783520,Salazar,2018-11-01 10:32:00,5121 Albert Brown Drive in Travis (TX),Stray,Normal,Intact Male,1,Border Collie Mix,Tricolor,,1,72.23680555555555
A783521,N/A,2018-11-01 10:49:00,2289 Westminister in Austin (TX),Stray,Normal,Intact Male,1,Chihuahua Shorthair Mix,Tricolor,,1,35.28402777777778
A783534,Leila,2018-11-01 13:16:00,12017 Amherst Drive in Austin (TX),Stray,Normal,Intact Female,1,Chow Chow Mix,Black,,1,42.12361111111111
A783536,John Snow,2018-11-01 13:15:00,8302 Decker Lane in Austin (TX),Stray,Normal,Intact Male,1,Great Pyrenees Mix,White,,1,105.94722222222222
A783538,Ebony,2018-11-01 13:45:00,7313 North Lamar Boulevard in Austin (TX),Stray,Normal,Intact Female,1,Labrador Retriever Mix,Black,White,1,44.19861111111111
A783584,N/A,2018-11-02 11:51:00,7100 Bluff Springs Road in Austin (TX),Stray,Normal,Intact Female,2,Maltese Mix,White,,1,35.27430555555556
A783590,Shady,2018-11-02 13:25:00,1104 Justin Ln in Austin (TX),Public Assist,Normal,Spayed Female,11,Labrador Retriever Mix,Black,,2,142.52569444444444
A783593,Yoshi,2018-11-02 13:47:00,2205 Sorret Tree Ct in Austin (TX),Stray,Normal,Intact Male,2,Pit Bull Mix,Tan,White,2,53.63194444444444
A783611,Joy,2018-11-02 18:50:00,9411 Parkfield Drive in Austin (TX),Stray,Normal,Intact Female,2,Chihuahua Shorthair,Tricolor,,1,33.90763888888889
A783622,Murphy,2018-11-03 10:35:00,7201 Levander in Austin (TX),Stray,Normal,Intact Male,1,Labrador Retriever Mix,Brown,White,1,16.320833333333333
A783623,Max,2018-11-03 11:09:00,5510 South Ih 35 Frontage Road in Austin (TX),Stray,Normal,Intact Male,1,Labrador Retriever Mix,White,Tan,3,32.978472222222216
A783624,Sansa,2018-11-03 11:09:00,5510 South Ih 35 Frontage Road in Austin (TX),Stray,Normal,Intact Female,1,German Shepherd Mix,Brown,White,1,69.25972222222222
A783627,*Lilla,2018-11-03 11:47:00,Austin (TX),Owner Surrender,Injured,Intact Female,1,Chihuahua Shorthair Mix,Black,White,1,158.06805555555556
A783639,Frankie,2018-11-03 13:22:00,10500 South Interstate 35 in Austin (TX),Stray,Normal,Intact Male,1,Pit Bull Mix,Black,,1,84.1875
A783641,Chester,2018-11-03 13:29:00,Springdale Road And Manor Road in Austin (TX),Stray,Normal,Intact Male,1,Norfolk Terrier Mix,Tan,,1,124.20416666666667
A783649,*Leia,2018-11-03 14:20:00,15317 Knighten Ln in Travis (TX),Stray,Normal,Intact Female,1,American Pit Bull Terrier Mix,Black,,1,133.09930555555556
A783661,Trinity,2018-11-03 18:21:00,Austin (TX),Stray,Normal,Intact Female,1,Pit Bull Mix,Brown,White,2,59.98159722222223
A783662,Luna,2018-11-03 18:40:00,Ross Road And Pearce Lane in Austin (TX),Stray,Normal,Intact Female,1,German Shepherd Mix,Black,Tan,1,47.0
A783663,*Felix,2018-11-03 18:40:00,Ross Road And Pearce Lane in Austin (TX),Stray,Normal,Intact Male,1,German Shepherd Mix,Tan,Black,1,41.70625
A783667,Jimmy,2018-11-04 11:14:00,Us Highway 290 West And Brodie Lane in Austin (TX),Stray,Normal,Intact Male,1,Chihuahua Longhair Mix,White,Brown,1,33.235416666666666
A783668,Scooby,2018-11-04 11:20:00,13021 Dessau Road in Austin (TX),Stray,Normal,Intact Male,1,Cairn Terrier Mix,Brown,,1,39.30138888888889
A783674,*Sienna,2018-11-04 11:45:00,1201 Bonnie Brae in Austin (TX),Stray,Normal,Intact Female,3,Pit Bull Mix,Brown,White,1,99.28888888888889
A783676,*Greta,2018-11-04 11:50:00,508 E. Howard in Austin (TX),Stray,Other,Intact Female,8,Dachshund Mix,Black,Brown,1,81.91180555555556
A783678,Armondo,2018-11-04 11:45:00,Austin (TX),Owner Surrender,Normal,Neutered Male,3,Labrador Retriever Mix,Black,White,1,7.149305555555555
A783691,*Beetle,2018-11-04 14:56:00,4801 Aberdeen Drive in Austin (TX),Stray,Normal,Intact Female,2,Pit Bull Mix,Tan,Brown,1,65.07013888888889
A783700,Max,2018-11-04 16:14:00,Johnny Morris Road And Loyola Lane in Austin (TX),Stray,Normal,Intact Male,1,Labrador Retriever Mix,Brown,White,1,289.0986111111111
A783701,Tulip,2018-11-04 16:48:00,49Th And Lamar in Austin (TX),Stray,Normal,Spayed Female,5,Beagle Mix,Black,Brown,1,26.047916666666666
A783702,Bane,2018-11-04 16:59:00,East 39Th Street And Willbert Road in Austin (TX),Stray,Normal,Intact Male,1,Chihuahua Shorthair Mix,Tan,,1,64.87013888888889
A783706,*Bindi,2018-11-04 19:05:00,1200 Charlotte Street in Austin (TX),Stray,Normal,Intact Female,1,Plott Hound Mix,Brown,White,1,45.97986111111111
A783710,Stumpy,2018-11-06 13:32:00,Austin (TX),Public Assist,Normal,Spayed Female,7,Basset Hound Mix,Red,,1,365.87152777777777
A783714,Thatcher,2018-11-05 10:25:00,2305 Park Lane in Webberville (TX),Stray,Normal,Intact Male,1,Great Pyrenees Mix,White,,1,37.04375
A783716,*Wiley,2018-11-05 10:25:00,2305 Park Lane in Webberville (TX),Stray,Normal,Intact Male,1,Great Pyrenees Mix,White,,1,35.855555555555554
A783717,Wrigley,2018-11-05 10:25:00,2305 Park Lane in Webberville (TX),Stray,Normal,Intact Male,1,Great Pyrenees Mix,White,,1,35.855555555555554
A783725,*Cody,2018-11-05 10:25:00,2305 Park Lane in Webberville (TX),Stray,Normal,Intact Male,1,Great Pyrenees Mix,White,Brown,1,39.330555555555556
A783726,Archer,2018-11-05 10:25:00,2305 Park Lane in Webberville (TX),Stray,Normal,Intact Male,1,Great Pyrenees Mix,Brown,White,1,38.24027777777778
A783734,Coco,2018-11-05 12:07:00,5701 Johnny Morris Road in Austin (TX),Stray,Normal,Intact Female,1,Chihuahua Shorthair Mix,Tan,White,1,66.16527777777777
A783737,N/A,2018-11-05 12:41:00,9945 Rodriguez Road in Austin (TX),Stray,Normal,Intact Female,1,Plott Hound Mix,Brown,White,1,47.22708333333333
A783738,N/A,2018-11-05 12:41:00,9945 Rodriguez Road in Austin (TX),Stray,Normal,Intact Female,1,Plott Hound Mix,White,Black,1,52.170833333333334
A783744,Bella,2018-11-05 13:21:00,7301 Thannas Way in Austin (TX),Stray,Normal,Intact Female,1,German Shepherd Mix,Black,Brown,1,52.1375
A783748,Dottie,2018-11-05 13:56:00,11304 Dimmit Street in Manor (TX),Stray,Normal,Intact Female,1,Jack Russell Terrier Mix,Black,Tricolor,1,24.108333333333334
A783763,Lani,2018-11-05 16:47:00,7601 Daffan Lane Number 359 in Austin (TX),Stray,Normal,Intact Female,2,Yorkshire Terrier Mix,Gray,Black,1,83.99722222222222
A783773,Buddy,2018-11-07 12:48:00,7304 Hillcroft Dr in Austin (TX),Stray,Normal,Intact Male,1,German Shepherd Mix,Tan,Black,1,20.225
A783778,Josie,2018-11-06 11:12:00,Pansy Trail And West Howard Lane in Austin (TX),Stray,Normal,Intact Female,1,Boxer Mix,White,Black,1,58.24722222222222
A783782,Sammy,2018-11-06 11:34:00,2922 Clifford Avenue in Austin (TX),Stray,Normal,Intact Male,1,Pointer Mix,Black,White,1,37.18472222222222
A783783,Moose,2018-11-06 11:46:00,1901 Margelen Way in Austin (TX),Stray,Normal,Intact Female,1,Chihuahua Shorthair Mix,Tan,White,1,30.23263888888889
A783788,Simon,2018-11-06 13:33:00,2516 Palo Verde Drive in Austin (TX),Stray,Normal,Intact Male,1,Labrador Retriever Mix,Tan,White,1,9.211805555555555
A783805,Grace,2018-11-06 16:18:00,9800 Cheryl Lynn Road in Travis (TX),Stray,Normal,Intact Female,1,German Shepherd Mix,Brown,Black,2,24.043750000000003
A783807,Ham Bone,2018-11-06 16:44:00,9704 Giles Ln in Travis (TX),Stray,Normal,Neutered Male,7,American Bulldog Mix,Brown,White,1,7.028472222222222
A783810,Luna,2018-11-06 16:53:00,Austin (TX),Owner Surrender,Normal,Intact Female,1,Pointer Mix,White,Brown,1,22.035416666666666
A783815,Jax,2018-11-06 19:01:00,Farm To Market 1625 And South Highway 183 in Austin (TX),Stray,Normal,Intact Male,2,St. Bernard Smooth Coat Mix,White,Brown,1,60.90763888888889
A783826,*Bjorn,2018-11-07 11:22:00,Emerald Forest Drive And Sahara Avenue in Austin (TX),Stray,Normal,Intact Male,1,Alaskan Malamute Mix,Black,Tan,1,70.20069444444445
A783829,Sagan,2018-11-07 11:51:00,San Felipe Boulevard And Research Boulevard in Austin (TX),Stray,Normal,Intact Male,1,Pointer Mix,Brown,White,1,37.20763888888889
A783833,Daisy,2018-11-07 12:14:00,1215 Delano Street in Austin (TX),Stray,Normal,Intact Female,1,Great Pyrenees Mix,Tan,Black,1,36.25069444444444
A783844,*Rocky,2018-11-07 13:30:00,1911 Hearthstone Drive in Austin (TX),Stray,Normal,Intact Male,1,Pit Bull Mix,Brown,White,2,9.731944444444444
A783853,Luna,2018-11-07 14:55:00,East Hiway 71 And Montopolis Drive in Austin (TX),Stray,Normal,Intact Female,1,Dachshund Mix,Blue,,1,37.12222222222222
A783871,Ava,2018-11-07 18:12:00,East 7Th Street in Austin (TX),Stray,Normal,Intact Female,3,Boxer,White,,1,33.95763888888889
A783884,Milo,2018-11-08 11:37:00,6711 Johnny Morris in Austin (TX),Stray,Normal,Intact Male,1,Border Collie Mix,Black,White,1,62.28680555555555
A783891,Elizabeth T,2018-11-08 11:36:00,Austin (TX),Owner Surrender,Normal,Intact Female,3,Border Terrier,Black,Tan,1,68.99444444444444
A783905,Danielle,2018-11-08 14:04:00,2605 Jones Road in Austin (TX),Stray,Normal,Intact Female,2,Labrador Retriever Mix,Tan,,2,101.82256944444444
A783909,Henri,2018-11-08 14:42:00,Travis (TX),Owner Surrender,Normal,Intact Male,1,Papillon Mix,Tan,White,1,35.15
A783916,Beefcake,2018-11-08 16:25:00,Borage Drive And Silverstone Drive in Austin (TX),Stray,Normal,Intact Male,2,Pit Bull Mix,Brown,White,1,43.03611111111111
A783917,Rascal,2018-11-08 16:24:00,Austin (TX),Owner Surrender,Normal,Intact Male,1,Pointer Mix,Black,White,1,43.00833333333333
A783919,Chili,2018-11-08 17:17:00,16900 Hamilton Point Circle in Manor (TX),Stray,Normal,Intact Female,1,Pit Bull Mix,Tan,White,2,17.432986111111113
A783924,Emma,2018-11-08 17:49:00,5700 South Mopac in Austin (TX),Stray,Normal,Spayed Female,1,Pit Bull Mix,Brown,White,1,1.0604166666666666
A783929,*Avery,2018-11-08 19:06:00,Fm 812 And Creedmore Drive in Austin (TX),Stray,Normal,Spayed Female,1,Chinese Sharpei Mix,Black,Tan,1,90.93541666666667
A783931,Claire,2018-11-08 19:06:00,Fm 812 And Creedmore Drive in Austin (TX),Stray,Normal,Intact Female,5,Labrador Retriever Mix,White,,1,47.88333333333333
A783946,Amber Rose,2018-11-09 10:21:00,9606 Carson Creek Blvd in Austin (TX),Stray,Normal,Intact Female,3,Siberian Husky,Brown,White,2,3.5635416666666666
A783948,*Jack,2018-11-09 11:12:00,Navasota And Holly in Austin (TX),Stray,Normal,Intact Male,1,Australian Shepherd Mix,Black,Brown,2,22.599305555555556
A783950,Lola,2018-11-09 11:31:00,8416 Sassman in Travis (TX),Stray,Normal,Intact Female,5,Staffordshire Mix,Tan,White,4,59.83506944444444
A783952,Munchkin,2018-11-18 17:36:00,Braker And 183 in Austin (TX),Stray,Normal,Intact Female,1,Border Collie Mix,Black,White,1,31.98263888888889
